rank,russian_verb,transliteration,english_verb,russian_sentence,sentence_transliteration,english_sentence,category
1425,адаптироваться,adaptirovat'sya,to adapt,Студент адаптируется к новой школе быстро.,Student adaptiruetsya k novoy shkole bystro.,The student adapts to the new school quickly.,change
1426,интегрироваться,integrirovat'sya,to integrate,Новые жители интегрируются в местное общество.,Novyye zhiteli integriruyutsya v mestnoye obshchestvo.,New residents integrate into the local community.,social
1427,ориентироваться,oriyentirovat'sya,to orient oneself,Турист ориентируется по карте в городе.,Turist oriyentiruyetsya po karte v gorode.,The tourist orients himself using a map in the city.,cognition
1428,заблудиться,zabludit'sya,to get lost,Мы заблудились в незнакомом районе города.,My zabludilis' v neznakomom rayone goroda.,We got lost in an unfamiliar part of the city.,motion
1429,блуждать,bluzhdat',to wander,Путник блуждает по тёмному лесу.,Putnik bluzhdat po tyomnomu lesu.,The traveler wanders through the dark forest.,motion
1430,скитаться,skitat'sya,to roam/wander,Бездомный скитается по улицам города.,Bezdomnyy skitayetsya po ulitsam goroda.,The homeless man roams the city streets.,motion
1431,кочевать,kochevat',to be nomadic/migrate,Племена кочуют по степи со стадами.,Plemena kochuyut po stepi so stadami.,Tribes migrate across the steppe with herds.,motion
1432,странствовать,stranstvovat',to travel/journey,Писатель странствует по миру в поисках сюжетов.,Pisatel' stranstvuyet po miru v poiskakh syuzhetov.,The writer journeys around the world seeking stories.,motion
1433,паломничать,palomnichat',to make a pilgrimage,Верующие паломничают к святым местам.,Veruyushchiye palomnichayut k svyatym mestam.,Believers make pilgrimages to holy places.,motion
1434,эвакуировать,evakuirovat',to evacuate,Спасатели эвакуируют жителей из зоны наводнения.,Spasateli evakuiruyut zhiteley iz zony navodneniya.,Rescuers evacuate residents from the flood zone.,action
1435,патрулировать,patrulirovat',to patrol,Полиция патрулирует улицы ночью.,Politsiya patruliruyut ulitsy noch'yu.,Police patrol the streets at night.,action
1436,конвоировать,konvoirovat',to escort (under guard),Охрана конвоирует заключённого в суд.,Okhrana konvoiruyet zaklyuchyonnogo v sud.,Guards escort the prisoner to court.,action
1437,дежурить,dezhyrit',to be on duty,Медсестра дежурит в больнице всю ночь.,Medsestra dezhyrit v bol'nitse vsyu noch'.,The nurse is on duty at the hospital all night.,state
1438,караулить,karaulit',to guard/watch,Собака караулит дом хозяина.,Sobaka karaulit dom khozyaina.,The dog guards the owner's house.,action
1439,подстерегать,podsteregat',to lie in wait,Хищник подстерегает добычу у водопоя.,Khishchnik podsteregayet dobychu u vodopoya.,The predator lies in wait for prey at the waterhole.,action
1440,выслеживать,vyslezhivat',to track/trail,Охотник выслеживает оленя в лесу.,Okhotnik vyslezhivayet olenya v lesu.,The hunter tracks a deer in the forest.,action
1441,шпионить,shpionit',to spy,Конкуренты шпионят за нашей компанией.,Konkurenty shpionyat za nashey kompaniyey.,Competitors spy on our company.,action
1442,подслушивать,podslyshivat',to eavesdrop,Мальчик подслушивает разговор родителей.,Mal'chik podslushivayet razgovor roditeley.,The boy eavesdrops on his parents' conversation.,perception
1443,подглядывать,podglyadyvat',to peek/peep,Ребёнок подглядывает за подарками в шкафу.,Rebyonok podglyadyvayet za podarkami v shkafu.,The child peeks at the gifts in the wardrobe.,perception
1444,маскировать,maskirovat',to camouflage/disguise,Солдаты маскируют технику ветками.,Soldaty maskiruyut tekhniku vetkami.,Soldiers camouflage equipment with branches.,action
1445,разоблачать,razoblachat',to expose/unmask,Журналист разоблачает коррупцию чиновников.,Zhurnalist razoblachayet korruptsiyu chinovnikov.,The journalist exposes corruption of officials.,communication
1446,расследовать,rassledovat',to investigate,Детектив расследует дело об ограблении.,Detektiv rassleduyet delo ob ograblenii.,The detective investigates the robbery case.,action
1447,допрашивать,doprashivat',to interrogate,Следователь допрашивает свидетелей преступления.,Sledovatel' doprashivayet svideteley prestupleniya.,The investigator interrogates the crime witnesses.,action
1448,задерживать,zaderzhivat',to detain,Полиция задерживает подозреваемого на месте.,Politsiya zaderzhivayet podozrevayemogo na meste.,Police detain the suspect at the scene.,action
1449,конфисковать,konfiskovat',to confiscate,Таможня конфискует запрещённые товары.,Tamozhnya konfiskuyet zapreshchyonnyye tovary.,Customs confiscates prohibited goods.,action
1450,обыскивать,obyskivat',to search (frisk),Охранник обыскивает посетителей на входе.,Okhrannik obyskivayet posetiteley na vkhode.,The security guard searches visitors at the entrance.,action
1451,освобождать,osvobozhdat',to release/liberate,Суд освобождает заключённого за хорошее поведение.,Sud osvobozhdalyet zaklyuchyonnogo za khorosheye povedeniye.,The court releases the prisoner for good behavior.,action
1452,помиловать,pomilovat',to pardon,Президент помилует осуждённого в честь праздника.,Prezident pomiluyut osuzhdyonnogo v chest' prazdnika.,The president pardons the convict for the holiday.,social
1453,реформировать,reformirovat',to reform,Правительство реформирует систему образования.,Pravitel'stvo reformiruyet sistemu obrazovaniya.,The government reforms the education system.,change
1454,модернизировать,modernizirovat',to modernize,Завод модернизирует оборудование каждые пять лет.,Zavod moderniziruyet oborudovaniye kazhdyye pyat' let.,The factory modernizes equipment every five years.,change
1455,оптимизировать,optimizirovat',to optimize,Программист оптимизирует код для быстродействия.,Programmist optimiziruyet kod dlya bystrodeystviya.,The programmer optimizes code for performance.,change
1456,автоматизировать,avtomatizirovat',to automate,Компания автоматизирует производственные процессы.,Kompaniya avtomatiziruyet proizvodstvennyye protsessy.,The company automates production processes.,change
